epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.35623,3.38082,5.61849,4.55232,0,0,0,0,2.82697,4.78383,4.15852,3.334e-05,3.334e-05,3.334e-05
2,5.84302,3.30827,5.68411,4.40636,0,0,0,0,2.82695,4.77944,4.1583,8.25248e-05,8.25248e-05,8.25248e-05
3,7.58205,3.32294,5.54379,4.47539,0,0,0,0,2.82696,4.77881,4.15793,0.000130719,0.000130719,0.000130719
4,9.88735,3.30622,5.2439,4.42317,0,0,0,0,2.83204,4.77374,4.15595,0.000177924,0.000177924,0.000177924
5,12.4013,3.25593,5.3376,4.30368,0,0,0,0,2.82587,4.77569,4.15534,0.000224138,0.000224138,0.000224138
6,14.5069,3.16215,5.09282,4.22831,0,0,0,0,2.82801,4.76333,4.15312,0.000269362,0.000269362,0.000269362
7,16.2223,3.28454,4.81416,4.20271,0,0,0,0,2.82074,4.77265,4.15103,0.000313596,0.000313596,0.000313596
8,18.2655,3.27596,4.83679,4.12114,0,0,0,0,2.80122,4.80607,4.14922,0.00035684,0.00035684,0.00035684
9,19.9955,3.27097,4.55963,4.03373,0,0,0,0,2.77531,4.50221,4.14585,0.000399093,0.000399093,0.000399093
10,21.685,2.95944,4.46854,4.02856,0,0,0,0,2.7676,4.41662,4.14208,0.000440356,0.000440356,0.000440356
11,23.7877,2.9647,4.18897,3.9021,0,0,0,0,2.74333,4.39146,4.13803,0.000480629,0.000480629,0.000480629
12,26.1817,3.08051,4.28419,3.83185,0,0,0,0,2.72641,4.3879,4.1336,0.000519912,0.000519912,0.000519912
13,28.4761,2.96633,3.93821,3.71116,0,0,0,0,2.71648,4.40399,4.13201,0.000558205,0.000558205,0.000558205
14,30.2034,2.96997,3.69082,3.59268,0,0,0,0,2.69974,4.41529,4.12749,0.000595507,0.000595507,0.000595507
15,32.072,2.84914,3.83281,3.50635,0,0,0,0,2.68002,4.43417,4.12781,0.00063182,0.00063182,0.00063182
16,34.0145,2.62187,3.52485,3.31208,0,0,0,0,2.68113,4.43862,4.12441,0.000667142,0.000667142,0.000667142
17,35.59,2.57253,3.37201,3.21145,0,0,0,0,2.64729,4.4534,4.11361,0.000701474,0.000701474,0.000701474
18,37.4731,2.56924,3.29423,3.15376,0,0,0,0,2.63281,4.4574,4.11199,0.000734815,0.000734815,0.000734815
19,40.1079,2.56644,3.15937,2.99997,0,0,0,0,2.62747,4.46538,4.11441,0.000767167,0.000767167,0.000767167
20,42.2549,2.51514,2.98402,3.02375,0,0,0,0,2.62878,4.47728,4.12121,0.000798528,0.000798528,0.000798528
21,44.3487,2.32735,2.76365,2.88888,0,0,0,0,2.61675,4.48671,4.11908,0.000828899,0.000828899,0.000828899
22,46.049,2.46558,2.99671,3.02853,0,0,0,0,2.62839,4.49364,4.11781,0.00085828,0.00085828,0.00085828
23,47.7161,2.45469,2.85927,2.94786,0,0,0,0,2.62266,4.51106,4.12168,0.000886671,0.000886671,0.000886671
24,49.4971,2.33898,2.80689,2.7791,0,0,0,0,2.63832,4.53818,4.13527,0.000914071,0.000914071,0.000914071
25,51.1788,2.34043,2.46182,2.71694,0,0,0,0,2.65202,4.53818,4.13526,0.000940481,0.000940481,0.000940481
26,53.5659,2.27041,2.60163,2.68433,0,0,0,0,2.66796,4.53691,4.13214,0.000965901,0.000965901,0.000965901
27,55.8759,2.25807,2.6859,2.68781,0,0,0,0,2.67408,4.55334,4.13156,0.000990331,0.000990331,0.000990331
28,57.7532,2.29166,2.91894,2.62256,0,0,0,0,2.63548,4.62245,4.12884,0.00101377,0.00101377,0.00101377
29,59.4703,2.32135,2.52203,2.64842,0,0,0,0,2.62418,4.65149,4.13299,0.00103622,0.00103622,0.00103622
30,61.0458,2.33855,2.53972,2.5957,0,0,0,0,2.62639,4.6888,4.13197,0.00105768,0.00105768,0.00105768
31,62.6571,2.21545,2.49317,2.61291,0,0,0,0,2.64379,4.70795,4.14397,0.00107815,0.00107815,0.00107815
32,64.5679,2.26502,2.51058,2.5055,0,0,0,0,2.63885,4.7451,4.141,0.00109763,0.00109763,0.00109763
33,66.5109,1.99223,2.37058,2.48799,0,0,0,0,2.58954,4.72645,4.11302,0.00111612,0.00111612,0.00111612
34,69.1479,2.28394,2.55169,2.43704,0.00063,0.25,0.00055,0.00011,2.4587,4.78623,4.04639,0.00112239,0.00112239,0.00112239
35,71.2391,2.09071,2.4722,2.44294,0.00062,0.25,0.00055,0.00011,2.4515,4.81255,4.03596,0.00110589,0.00110589,0.00110589
36,72.9856,2.17339,2.24205,2.33413,0.00053,0.25,0.00051,0.00015,2.50267,4.79908,4.00251,0.00108938,0.00108938,0.00108938
37,74.8276,2.07938,2.33969,2.40662,0.00044,0.25,0.00053,0.0002,2.54831,4.74944,3.96606,0.00107288,0.00107288,0.00107288
38,76.467,1.98092,2.27457,2.2855,0.00043,0.25,0.24761,0.0991,2.5235,4.7755,3.95447,0.00105638,0.00105638,0.00105638
39,78.222,2.04479,2.26818,2.32676,0.00044,0.25,0.24761,0.05075,2.52885,4.78113,3.93443,0.00103987,0.00103987,0.00103987
40,79.9893,1.92989,2.03982,2.24007,0.00199,0.34375,0.09971,0.02979,2.62169,4.49123,3.52216,0.00102337,0.00102337,0.00102337
41,82.245,2.0064,2.09773,2.22004,0.00292,0.40625,0.1025,0.02928,2.62368,4.35164,3.34454,0.00100687,0.00100687,0.00100687
42,84.515,1.92139,1.9459,2.19772,0.17452,0.07096,0.1174,0.04485,2.50751,4.09288,3.11912,0.000990365,0.000990365,0.000990365
43,86.2988,1.9029,1.99086,2.14677,0.20963,0.30866,0.30705,0.06102,2.50874,3.78276,2.83916,0.000973861,0.000973861,0.000973861
44,88.1041,1.87855,2.03611,2.15687,0.25326,0.34375,0.38315,0.06691,2.43154,3.10993,2.54816,0.000957358,0.000957358,0.000957358
45,89.8397,1.89466,1.98515,2.10238,0.93017,0.09375,0.42999,0.07637,2.3784,2.76301,2.35409,0.000940855,0.000940855,0.000940855
46,91.3951,1.80271,1.92653,2.12249,0.43371,0.125,0.25355,0.08468,2.40908,2.49861,2.22567,0.000924352,0.000924352,0.000924352
